Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Oct-25,"24,620.55","26,104.20","24,605.95","25,722.10","25,722.10","6,241,500",INR
1-Sep-25,"24,432.70","25,448.95","24,432.70","24,611.10","24,611.10","5,976,400",INR
1-Aug-25,"24,734.90","25,153.65","24,337.50","24,426.85","24,426.85","5,868,000",INR
1-Jul-25,"25,551.35","25,608.10","24,598.60","24,768.35","24,768.35","6,276,800",INR
1-Jun-25,"24,669.70","25,669.35","24,473.00","25,517.05","25,517.05","7,058,300",INR
1-May-25,"24,311.90","25,116.25","23,935.75","24,750.70","24,750.70","8,551,600",INR
1-Apr-25,"23,341.10","24,457.65","21,743.65","24,334.20","24,334.20","7,659,800",INR
1-Mar-25,"22,194.55","23,869.60","21,964.60","23,519.35","23,519.35","6,239,300",INR
1-Feb-25,"23,528.60","23,807.30","22,104.85","22,124.70","22,124.70","5,645,300",INR
1-Jan-25,"23,637.65","24,226.70","22,786.90","23,508.40","23,508.40","6,458,100",INR
1-Dec-24,"24,140.85","24,857.75","23,460.45","23,644.80","23,644.80","5,450,800",INR
1-Nov-24,"24,302.75","24,537.60","23,263.15","24,131.10","24,131.10","5,887,700",INR
1-Oct-24,"25,788.45","25,907.60","24,073.90","24,205.35","24,205.35","6,328,000",INR
1-Sep-24,"25,333.60","26,277.35","24,753.15","25,810.85","25,810.85","6,162,500",INR
1-Aug-24,"25,030.95","25,268.35","23,893.70","25,235.90","25,235.90","6,327,000",INR
1-Jul-24,"23,992.95","24,999.75","23,992.70","24,951.15","24,951.15","6,250,600",INR
1-Jun-24,"23,337.90","24,174.00","21,281.45","24,010.60","24,010.60","7,751,100",INR
1-May-24,"22,567.85","23,110.80","21,821.05","22,530.70","22,530.70","6,691,400",INR
1-Apr-24,"22,455.00","22,783.35","21,777.65","22,604.85","22,604.85","6,034,000",INR
1-Mar-24,"22,048.30","22,526.60","21,710.20","22,326.90","22,326.90","6,700,100",INR
